pep_length	start_pos	hla	weight	w
8	2	HLA-B27:02	2.105e-09	7.018e-10
8	2	HLA-B27:04	1.040e-08	5.198e-09
8	2	HLA-B27:05	3.261e+00	2.329e-01
8	2	HLA-B27:06	1.116e-12	1.116e-12
8	2	HLA-B27:07	1.213e-01	4.042e-02
8	2	HLA-B27:08	2.374e-10	2.374e-10
8	2	HLA-B27:09	4.302e-01	3.309e-02
8	2	HLA-B35:01	1.027e+00	5.705e-02
8	2	HLA-B35:02	5.314e-04	5.314e-04
8	2	HLA-B35:03	5.285e-03	1.762e-03
8	2	HLA-B35:06	1.435e-02	1.435e-02
8	2	HLA-B35:08	2.791e-03	9.304e-04
8	2	HLA-B37:01	8.666e-01	1.444e-01
8	2	HLA-B39:01	3.572e-02	1.880e-03
8	2	HLA-B39:06	5.014e-01	2.950e-02
8	2	HLA-B39:09	7.175e-02	3.588e-02
8	2	HLA-B39:24	5.700e-01	3.000e-02
8	2	HLA-B40:01	1.784e-01	8.496e-03
8	2	HLA-B40:02	1.348e+01	5.525e-02
8	2	HLA-B41:04	1.988e-01	4.971e-02
8	2	HLA-B41:05	1.896e-03	9.478e-04
8	2	HLA-B41:06	2.841e-03	2.841e-03
8	2	HLA-B42:01	2.735e-02	2.735e-02
8	2	HLA-B44:02	1.354e+00	5.887e-02
8	2	HLA-B44:03	6.935e-01	2.477e-02
8	2	HLA-B44:08	2.037e-01	2.037e-01
8	2	HLA-B44:09	3.241e+00	5.401e-01
8	2	HLA-B45:01	1.250e-04	6.248e-05
8	2	HLA-B46:01	2.389e+00	1.493e-01
8	2	HLA-B47:01	5.103e-01	1.276e-01
8	2	HLA-B49:01	7.153e-04	1.788e-04
8	2	HLA-B50:01	1.868e-03	3.113e-04
8	2	HLA-B51:01	1.533e+01	6.468e-02
8	2	HLA-B51:08	5.999e-01	4.000e-02
8	2	HLA-B52:01	7.135e-01	7.135e-01
8	2	HLA-B54:01	7.817e-02	6.013e-03
8	2	HLA-B56:01	2.519e-03	4.198e-04
8	2	HLA-B57:01	1.671e+01	1.547e-01
8	2	HLA-B57:03	3.976e+00	9.467e-02
8	2	HLA-B58:01	7.543e+00	1.714e-01
8	2	HLA-B73:01	7.590e-15	7.590e-15
8	2	HLA-C01:02	5.141e-01	1.658e-02
8	2	HLA-C02:02	1.543e-01	7.016e-03
8	2	HLA-C03:03	2.311e+00	9.244e-02
8	2	HLA-C03:04	1.433e+00	2.703e-02
8	2	HLA-C04:01	3.045e+00	2.956e-02
8	2	HLA-C05:01	3.839e+00	2.461e-02
8	2	HLA-C06:02	1.422e-01	5.266e-03
8	2	HLA-C07:01	1.555e-01	1.555e-02
8	2	HLA-C07:02	2.281e-01	9.123e-03
8	2	HLA-C08:02	3.016e+00	1.850e-02
8	2	HLA-C12:02	3.260e-08	3.260e-08
8	2	HLA-C12:03	1.984e-01	6.199e-03
8	2	HLA-C14:02	4.457e-01	4.327e-03
8	2	HLA-C15:02	2.053e+00	6.039e-02
8	2	HLA-C16:01	6.567e+00	4.691e-02
8	2	HLA-C17:01	2.438e+00	9.751e-02
