loss	acc	val_loss	val_acc
6.726e-02	9.765e-01	4.740e-02	9.841e-01
5.491e-02	9.817e-01	4.487e-02	9.853e-01
5.200e-02	9.829e-01	4.352e-02	9.858e-01
5.044e-02	9.834e-01	4.203e-02	9.862e-01
4.937e-02	9.839e-01	4.272e-02	9.860e-01
4.876e-02	9.841e-01	4.203e-02	9.863e-01
4.818e-02	9.843e-01	4.586e-02	9.851e-01
4.782e-02	9.845e-01	4.137e-02	9.865e-01
4.741e-02	9.846e-01	4.124e-02	9.866e-01
4.703e-02	9.847e-01	4.091e-02	9.869e-01
4.687e-02	9.848e-01	4.106e-02	9.868e-01
4.649e-02	9.850e-01	4.088e-02	9.866e-01
4.629e-02	9.851e-01	4.146e-02	9.868e-01
4.623e-02	9.851e-01	4.013e-02	9.870e-01
4.593e-02	9.852e-01	4.109e-02	9.869e-01
4.578e-02	9.853e-01	4.141e-02	9.869e-01
4.577e-02	9.853e-01	4.081e-02	9.867e-01
4.549e-02	9.853e-01	4.104e-02	9.871e-01
4.547e-02	9.854e-01	3.992e-02	9.871e-01
4.548e-02	9.854e-01	4.026e-02	9.869e-01
4.513e-02	9.855e-01	4.038e-02	9.872e-01
4.517e-02	9.855e-01	4.031e-02	9.870e-01
4.514e-02	9.855e-01	3.995e-02	9.872e-01
4.508e-02	9.855e-01	4.086e-02	9.869e-01
4.501e-02	9.855e-01	3.988e-02	9.873e-01
4.497e-02	9.855e-01	4.119e-02	9.871e-01
4.488e-02	9.856e-01	4.169e-02	9.869e-01
4.486e-02	9.856e-01	4.069e-02	9.871e-01
4.480e-02	9.856e-01	4.104e-02	9.872e-01
4.470e-02	9.857e-01	4.034e-02	9.873e-01
4.455e-02	9.857e-01	4.025e-02	9.873e-01
4.464e-02	9.856e-01	4.070e-02	9.874e-01
4.455e-02	9.856e-01	4.024e-02	9.873e-01
4.458e-02	9.856e-01	4.017e-02	9.873e-01
4.464e-02	9.856e-01	4.037e-02	9.871e-01
4.438e-02	9.857e-01	4.140e-02	9.872e-01
4.451e-02	9.857e-01	4.096e-02	9.873e-01
4.435e-02	9.858e-01	4.127e-02	9.871e-01
4.430e-02	9.858e-01	4.071e-02	9.872e-01
4.430e-02	9.859e-01	3.965e-02	9.874e-01
4.421e-02	9.859e-01	4.260e-02	9.870e-01
4.431e-02	9.859e-01	4.118e-02	9.871e-01
4.433e-02	9.858e-01	4.029e-02	9.874e-01
4.425e-02	9.859e-01	4.037e-02	9.874e-01
4.413e-02	9.859e-01	4.035e-02	9.873e-01
4.418e-02	9.858e-01	3.994e-02	9.873e-01
4.422e-02	9.858e-01	4.076e-02	9.873e-01
4.435e-02	9.859e-01	4.110e-02	9.873e-01
4.414e-02	9.859e-01	4.073e-02	9.874e-01
4.418e-02	9.859e-01	4.127e-02	9.872e-01
